,statNm,statId,chgerId,chgerType,addr,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail
24,동작주차공원 공영주차장,ME000035,01,06,서울특별시 동작구 현충로 213,null,37.503803,126.976775,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210910103310,20210731173332,20210731181338,,,50,단독,11,11590,B0,B001,Y,,N,,N,
25,조원동 제1공영주차장,ME000036,01,06,서울특별시 관악구 신림동 571-6,null,37.481069,126.905703,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124810,20220811104643,20220811112448,,,50,단독,11,11620,B0,B001,N,,N,,N,
26,사당역 공영주차장,ME000037,01,03,서울특별시 서초구 과천대로 950-18,null,37.475256,126.982638,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210910095310,20210908163408,20210908171323,,,50,단독,11,11650,B0,B001,Y,,N,,N,
27,이마트 양재점,ME000038,01,03,서울특별시 서초구 매헌로 16,null,37.463293,127.036812,09:00~24:00,ME,환경부,환경부,1661-9408,9,20211007154810,20210701215224,20210701222250,,,50,단독,11,11650,E0,E001,N,,N,,N,
28,수서역 공영주차장,ME000039,01,03,서울특별시 강남구 수서동 735,null,37.487569,127.101016,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210910095310,20210908155218,20210908163039,,,50,단독,11,11680,B0,B001,Y,,N,,N,
29,학여울역 공영주차장,ME000040,01,03,서울특별시 강남구 남부순환로 3104,null,37.496722,127.070444,05:00~익일01:00,ME,환경부,환경부,1661-9408,9,20211021153310,20211005183947,20211005192005,,,50,단독,11,11680,B0,B001,Y,,N,,N,
30,롯데마트 잠실점,ME000044,01,03,서울특별시 송파구 올림픽로 240,null,37.511818,127.096321,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211117140810,20211113134232,20211113142102,,,50,단독,11,11710,E0,E001,N,,N,,N,
31,이마트 명일점,ME000045,01,03,서울특별시 강동구 고덕로 276,null,37.554606,127.155966,10:00~24:00,ME,환경부,환경부,1661-9408,9,20210803111310,20210709105113,20210709105137,,,50,단독,11,11740,E0,E001,N,,N,,N,
32,홈플러스 영도점,ME000046,01,01,부산광역시 영도구 대교로14번길 57,null,35.095906,129.044240,09:00~24:00,ME,환경부,환경부,1661-9408,9,20220117151310,20220114143847,20220114150731,,,50,단독,26,26200,E0,E001,N,,N,,N,
33,이마트 문현점,ME000048,01,03,부산광역시 남구 전포대로91번길 47,null,35.144356,129.064256,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211021140810,20211018170721,20211018174752,,,50,단독,26,26290,E0,E001,N,,N,,N,
34,이마트 금정점,ME000052,01,01,부산광역시 금정구 중앙대로1841번길 24,null,35.24975906,129.0901501,10:00~24:00,ME,환경부,환경부,1661-9408,9,20210803111310,20180803134602,20180801145748,,,50,단독,26,26410,E0,E001,N,,N,,N,
35,홈플러스 아시아드점,ME000055,01,03,부산광역시 연제구 종합운동장로 7,null,35.19104755,129.06250571,09:00~24:00,ME,환경부,환경부,1661-9408,9,20211021125310,20211021113133,20211021121149,,,50,단독,26,26470,E0,E001,N,,N,,N,
36,이마트 연제점,ME000056,01,03,부산광역시 연제구 연수로 89,null,35.176147,129.081345,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211115131810,20211113200112,20211113202437,,,50,단독,26,26470,E0,E001,N,,N,,N,
