,statNm,statId,chgerId,chgerType,addr,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,output,method,zcode,zprov,zscode,kind,kindDetail,parkingFree,limitYn,delYn,statUpdDt_rev,lastTsdt_rev,lastTedt_rev
18,메이필드호텔,ME000025,1,6,서울특별시 강서구 방화대로 94,서울특별시 강서구,37.546851,126.818613,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11500,E0,E003,N,N,N,8/10/2021 17:28,8/10/2021 15:53,8/10/2021 16:16
19,천왕역 환승주차장,ME000027,1,3,서울특별시 구로구 오류동 174-10,서울특별시 구로구,37.487234,126.839153,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11530,B0,B003,Y,N,N,9/10/2021 10:28,2/9/2021 0:06,1/20/2021 13:00
20,구로리공원 앞(공중전화부스),ME000028,1,6,서울특별시 구로구 구로동 136-14,서울특별시 구로구,37.4912466,126.8919514,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,11,KR-11,11530,G0,G003,N,N,N,8/11/2022 12:48,8/11/2022 11:26,8/11/2022 12:06
21,홈플러스 시흥점,ME000029,1,3,서울특별시 금천구 시흥대로 201,서울특별시 금천구,37.45222814,126.9009394,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11545,E0,E001,N,N,N,8/3/2021 11:08,4/27/2019 12:46,4/26/2019 16:52
22,제일모직아울렛 건너편(공중전화부스),ME000031,1,6,서울특별시 금천구 가산동 239-27,서울특별시 금천구,37.4744454,126.8867302,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11545,G0,G003,N,N,N,6/21/2022 13:58,6/21/2022 8:22,6/21/2022 9:02
23,영등포구 대신시장(공중전화부스),ME000032,1,6,서울특별시 영등포구 신길1동 116-15,서울특별시 영등포구,37.5113404,126.9176919,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11560,G0,G003,N,N,N,8/11/2022 12:48,8/11/2022 10:25,8/11/2022 11:05
24,동작주차공원 공영주차장,ME000035,1,6,서울특별시 동작구 현충로 213,서울특별시 동작구,37.503803,126.976775,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11590,B0,B001,Y,N,N,9/10/2021 10:33,7/31/2021 17:33,7/31/2021 18:13
25,조원동 제1공영주차장,ME000036,1,6,서울특별시 관악구 신림동 571-6,서울특별시 관악구,37.481069,126.905703,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11620,B0,B001,N,N,N,8/11/2022 12:48,8/11/2022 10:46,8/11/2022 11:24
26,사당역 공영주차장,ME000037,1,3,서울특별시 서초구 과천대로 950-18,서울특별시 서초구,37.475256,126.982638,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11650,B0,B001,Y,N,N,9/10/2021 9:53,9/8/2021 16:34,9/8/2021 17:13
27,이마트 양재점,ME000038,1,3,서울특별시 서초구 매헌로 16,서울특별시 서초구,37.463293,127.036812,09:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11650,E0,E001,N,N,N,10/7/2021 15:48,7/1/2021 21:52,7/1/2021 22:22
